word,frequency
They,4219
do,15309
not!,104
to!,53
I,99874
hope,814
so.,776
She,3213
okay?,767
Let's,1559
go.,1135
Wow,9
Okay,135
--,18773
you're,7205
gonna,4217
need,3653
to,77340
learn,341
how,4497
lie.,98
No,3224
I'm,21919
kidding.,141
You,27207
know,13752
sometimes,223
you,79396
just,12195
become,333
this,15327
"""persona""?",1
And,9725
don't,19074
quit?,20
Like,1151
my,17364
fear,154
of,37278
wearing,215
pastels?,1
The,10352
"""real",1
"you"".",4
What,13636
good,3834
stuff?,101
figured,273
you'd,1140
get,12409
the,87660
stuff,536
eventually.,18
Thank,1268
God!,189
If,4498
had,5229
hear,1602
one,7168
more,3429
story,413
about,11828
your,18682
coiffure...,1
Me.,52
This,4613
endless,13
...blonde,1
babble.,1
"like,",296
boring,43
myself.,458
crap?,12
listen,524
No...,315
Then,2208
Guillermo,1
"says,",165
"""If",26
go,6456
any,3671
"lighter,",2
look,2935
like,12817
an,6083
extra,134
on,15609
"90210.""",1
always,2305
been,6105
selfish?,6
But,7387
that's,4105
all,10997
say.,487
"Well,",5315
no...,124
never,4755
wanted,1646
out,9575
with,16000
"'me,",1
did,5105
you?,4615
was?,92
looked,406
for,20861
back,3912
at,9693
"party,",51
but,8468
seemed,172
be,17832
"""occupied"".",1
Tons,2
Have,1086
fun,208
tonight?,201
believe,2218
we,12987
share,155
art,130
instructor,2
Chastity?,1
Looks,265
things,1749
worked,369
"tonight,",181
huh?,778
Hi.,367
Who,2014
knows?,76
All,2478
I've,5213
ever,2646
heard,1268
her,5900
say,3837
is,23569
that,23208
she'd,143
dip,12
before,1864
dating,47
a,65941
guy,1449
smokes.,5
So,3904
kind,1831
she,5002
likes?,2
Pretty,146
ones?,13
Lesbian?,1
No.,3369
found,1163
picture,230
Jared,2
Leto,3
in,30182
"drawers,",2
so,6807
pretty,1046
sure,2086
she's,1319
not,14101
harboring,4
same-sex,3
tendencies.,2
She's,1581
a...,135
workin',68
it.,9162
doesn't,1993
seem,519
goin',336
him.,3234
"really,",135
really,3254
wanna,864
"go,",336
can't.,330
Not,3109
unless,253
sister,167
goes.,57
Sure,322
have.,286
Eber's,1
Deep,25
Conditioner,1
every,1511
two,2636
days.,342
"never,",28
use,972
blowdryer,1
without,1082
diffuser,1
attachment.,1
How,5343
hair,210
that?,2507
You're,6117
sweet.,67
have,19705
word.,179
As,927
gentleman,72
counted,20
help,1716
cause.,24
and,34438
thug,1
are,12750
obviously,103
failing.,2
Aren't,227
going,7889
our,3655
date?,37
got,10597
something,3194
mind?,173
Where?,226
There.,47
there's,1803
someone,1204
think,9211
might,1720
little,3983
Find,143
Wench,1
A,4291
Date,5
plan,241
progressing?,2
Forget,353
French.,26
That's,6628
because,1993
it's,7106
such,946
nice,964
one.,1139
want,9692
though.,256
useful,30
things.,496
where,2931
stores,19
are.,657
much,2566
does,1626
champagne,27
cost?,27
Stuff,16
Chat.,1
life,1273
point,509
head,655
someone.,107
Right.,516
See?,86
ready,464
quiz.,2
C'esc,1
ma,17
tete.,1
Let,1123
me,17057
see,5832
what,13019
can,9271
do.,1615
"Gosh,",25
if,8439
only,3473
could,5118
find,2667
Kat,15
boyfriend...,5
shame.,36
Unsolved,3
mystery.,17
used,1265
popular,50
when,4990
started,456
high,425
"school,",101
then,2252
it,23072
was,18315
sick,323
or,5510
something.,882
Why?,996
Seems,98
date,157
easy,303
enough...,18
thing,2481
"is,",765
Cameron,5
mercy,30
particularly,48
hideous,11
breed,15
loser.,36
My,3043
sister.,125
can't,5507
until,883
does.,212
Cameron.,9
"No,",3804
"no,",793
fault,88
didn't,5075
proper,79
introduction,6
---,88
asking,394
out.,1971
cute.,54
What's,3395
name,1112
again?,284
Okay...,93
'bout,215
try,1081
some,5637
French,159
cuisine.,3
Saturday?,19
Night?,1
hacking,8
gagging,4
spitting,12
part.,109
Please.,249
thought,2716
we'd,301
start,910
"pronunciation,",1
okay,220
you.,8760
Can,1460
make,4276
quick?,7
Roxanne,1
Korrine,1
Andrew,32
Barrett,6
having,769
incredibly,39
horrendous,1
public,165
break-,6
up,7644
quad.,1
Again.,22
did.,802
',28
re,25
sophomore,4
prom?,11
home,843
'til,78
two.,197
twenty,411
minutes.,358
I'd,2887
give,2816
private,227
line,285
Joey.,30
Sometimes,265
wonder,312
guys,1015
we're,2252
supposed,928
ones,211
actually,428
"with,",85
know?,757
"Bianca,",5
highlights,2
Joey,40
Dorsey,3
include,31
door-opening,1
coat-holding.,1
Combination.,1
he'd,334
different.,198
More,220
gentleman...,4
Is,2675
he,11530
oily,4
dry?,4
He,7029
practically,96
proposed,26
same,1093
dermatologist.,2
mean.,269
Dr.,804
Bonchowski,1
great,1126
"all,",340
he's,3129
exactly,587
relevant,10
party,246
conversation.,49
Would,704
mind,796
getting,1583
"drink,",69
Cameron?,2
Great,166
Who?,372
Where,2209
go?,333
here.,3854
Did,2167
change,488
hair?,34
deal.,288
t,27
"Listen,",512
talk,2531
prom.,19
concentrating,7
awfully,55
hard,765
considering,47
gym,9
class.,103
"Hi,",310
"Hey,",1543
sweet,181
cheeks.,4
agent,68
says,900
shot,471
being,1418
Prada,3
next,989
year.,287
Neat...,1
It's,10517
gay,29
cruise,15
"line,",62
I'll,6726
"be,",169
uniform,30
stuff.,309
Queen,67
Harry?,54
"yeah,",302
Sears,3
catalog,2
tube,21
sock,15
gig,22
"""",30
huge.,13
ad,35
Harry,146
week.,338
Hopefully.,1
Exactly,57
"So,",677
Bogey,5
Lowenbrau's,1
Expensive?,1
Perm?,1
Patrick,24
that-,5
a.,2
woman,654
complete,137
fruit-loop,1
me?,2189
No!,528
What?,2253
To,1142
completely,257
damage,59
send,541
therapy,31
forever?,8
set,595
up.,1981
go!,149
beautiful,415
last,2220
"night,",394
know.,3534
guess,1305
"know,",2562
will,5128
I?,470
experiences,8
"good,",325
Bianca.,5
trust,533
people,2706
to.,838
"God,",649
him!,298
Just,3088
keep,1907
locked,135
away,1216
"dark,",29
experience,117
anything,1940
myself,523
protecting,50
stupid,291
enough,1126
repeat,58
mistakes.,21
didn't!,16
own,1388
"decisions,",4
would've,150
let,2519
him,6207
instead,169
helping,103
Daddy,126
hold,617
hostage.,10
Why,3787
tell,5351
After,482
"that,",1199
swore,36
"""everyone",1
"else""",1
doing,2026
haven't,1226
since.,50
Except,153
Bogey's,1
stunning,2
gastro-intestinal,1
display,23
once.,248
"Afterwards,",2
told,2590
anymore.,500
wasn't,1539
ready.,150
pissed.,26
broke,224
me.,6856
what?,1679
said,2992
everyone,374
in...,118
Now,2281
Back,175
"then,",394
different,484
story.,264
hate,749
"was,",166
total,104
babe,10
In,1846
9th.,2
For,1265
month,146
went,1382
"out,",633
he?,483
wish,659
luxury.,2
asked,718
prom,30
won,111
t.,1
care.,202
firm,48
believer,8
"reasons,",13
else,960
s,25
.,2072
sit,614
Susie,21
High,69
School.,13
welcome.,65
act,280
too,2530
"this,",759
totally,218
apeshit,1
social,87
advice,70
from,6101
right,3676
now.,2220
now?,715
unbalanced.,1
"Yeah,",2687
freak,57
friend,608
Mandella's,1
boyfriend.,57
since,870
allowed,107
should,3136
obsess,1
over,2997
dead,704
"guy,",229
too.,1364
Shakespeare.,9
Maybe,2098
you've,1574
him?,984
even,2746
means.,66
At,744
least,709
clouted,1
fen-,1
sucked,29
hedge-pig.,1
Can't,482
forget,562
night,921
wretched?,1
Lowenstein's,2
"normal,",16
busy,163
listening,132
Bitches,3
Need,61
Prozac,3
that.,3557
normal?,16
ruining,25
life',1
Because,1154
won't,2292
normal.,42
freak.,26
torture,36
suck.,15
think?,474
"Oh,",4153
why,2764
bothering,72
"ask,",47
Saturday,69
night?,269
It,6222
means,506
Gigglepuss,4
playing,361
Club,21
Skunk,2
going.,260
Oh,2179
mean,2387
becoming,65
bra?,2
potential,31
smack,17
crap,88
way.,1122
Nowhere...,3
Daddy.,71
Where've,18
been?,112
"date,",33
captain,43
oppression,4
men,790
missing,152
Fine.,322
prisoner,28
house.,542
daughter.,137
possession!,2
End,35
He's,3433
"""hot",2
"rod"".",1
Whatever,272
is.,1148
hot,316
rod,5
"Joey,",30
right?,1302
That,3654
who,4335
bend,34
rules,76
for?,590
has,3386
"Daddy,",67
discuss,128
tomorrow,361
she'll,194
scare,130
them,3459
away.,705
Promise,53
boys,300
present.,72
minute,290
no!,160
Wear,14
belly,24
party.,201
God.,390
starting.,10
Kat's,1
"going,",117
expect,369
there!,199
knew,1340
forbid,13
"""Gloria",1
"Steinem""",1
there,4355
isn't,1842
Otherwise,41
known,338
as,6810
orgy?,2
must,2309
were,5818
attempting,13
small,333
study,115
group,93
friends.,305
where're,5
going?,405
date.,119
fair,161
"mutant,",1
Daddy!,29
neither,88
sleep,396
night.,914
starts,141
dating?,4
dating.,5
discussion.,22
upset.,86
boy...,32
ask...,7
sent,504
'em,781
through.,164
Padua,1
girls.,97
One,961
"tall,",15
decent,76
body.,137
other,2241
kinda,272
short,155
undersexed?,1
Never,437
Fan,8
fan.,27
couple,686
minors,3
come,4356
in?,306
Didn't,391
pegged,9
they,7584
pre-teen,1
belly-button,2
ring,107
Always,137
"pleasure,",29
Brucie.,1
Best,83
case,483
"scenario,",3
payroll,10
awhile.,58
humiliated,14
woman!,24
Sacrifice,3
yourself,792
altar,6
dignity,12
score.,23
m,11
not.,990
Buttholus,1
extremus.,1
"hey,",100
making,711
progress.,21
hell,1487
'guy,1
picks,30
girl,918
carries,15
while,721
talking,1653
her?,562
Extremely,5
unfortunate,34
maneuver.,6
"Hell,",230
whole,1403
-,6181
part,754
already.,139
favorite,145
band.,35
Assail,1
ears,52
Okay!,26
pretty!,2
Dead,60
forty-one.,3
Her,348
uncle,62
lung,11
cancer,36
issue,65
Number,74
hates,101
smokers,2
Are,2450
kidding?,106
He'll,346
piss,73
himself,296
joy.,19
ultimate,29
kiss,184
ass.,249
Will,677
bent?,1
"case,",158
we'll,970
school-wide,1
blow,281
golden,27
opportunity.,23
ask,1484
Katarina,3
choice?,16
Besides,49
enemy,85
orchestrating,1
"battle,",12
position,105
power.,89
We,6858
pretend,99
calling,331
"shots,",7
setting,50
"plan,",40
time,3466
woo,3
involved?,22
Hey,345
gotta,1658
few,1125
clients,29
Wall,24
Street.,56
hated,115
those,2081
people.,502
set.,78
You'd,335
outrank,2
everyone.,48
Strictly,8
A-list.,2
With,618
by,3490
side.,190
his,6553
reputation.,26
Do,3522
we've,645
not?,563
"serious,",51
"man,",698
whacked.,7
sold,139
liver,13
black,328
market,53
buy,581
new,1284
speakers.,4
felons,2
Honors,3
Biology?,1
criminal.,27
lit,22
state,201
trooper,5
fire.,106
Alcatraz...,1
seems,451
thrives,1
danger,75
makes,874
he'll,425
it?,3625
"Unlikely,",1
"so,",254
still,2465
what's,1377
point?,77
teach,201
"French,",20
"her,",508
dazzle,1
charm,20
falls,46
love,2429
"mewling,",1
rampalian,1
wretch,2
herself.,59
Bianca's,2
sister?,37
minor,35
encounter,12
shrew.,1
consecrate,1
friend.,412
chance,441
Guess,157
signed,82
tutor?,2
...,4297
Mom's,27
Canada,11
French?,17
Dorsey?,1
Perma-shit-grin.,1
"moron,",7
number,334
twelve,168
model.,19
Mostly,33
regional,9
"stuff,",91
rumored,3
big,1627
